Medicina,Peso,Indice PH
M81,3.277379136,3.372249351
M82,2.262425937,2.480622975
M83,2.178029948,3.129601621
M84,3.428929181,1.525200843
M85,1.275980639,2.315919001
M86,2.626961974,2.263086213
M87,2.751579349,3.467755999
M88,1.780656374,2.987255947
M89,2.194103078,1.960023569
M90,0.950740462,2.991427576
M91,0.966842499,2.379170516
M92,2.094387244,2.399970762
M93,2.650028629,3.777734479
M94,4.326942127,3.102077493
M95,1.399798396,3.358526562
M96,2.168597922,3.795572901
M97,1.925755017,3.162231925
M98,0.260279374,3.49576907
M99,1.604930461,3.614667849
M100,0.384789043,4.053547794
M101,2.756337977,3.428274529
M102,1.200771126,4.271009418
M103,2.09008355,3.020347636
M104,1.509923963,2.956917531
M105,2.273168715,4.531201189
M106,1.459706094,2.541259459
M107,2.440968789,2.997430536
M108,2.665426811,3.827880372
M109,3.540699005,3.134827859
M110,1.825288818,4.264440101
M111,0.075480258,3.930709386
M112,1.244370127,3.26241326
M113,3.219134895,2.300071316
M114,1.03506024,3.510026488
M115,2.864858483,1.755640956
M116,2.11164482,3.220027208
M117,3.29302696,3.727594923
M118,0.235190001,3.191737529
M119,1.822071597,3.791709448
M120,0.912939063,4.834988626
M121,4.617207228,3.831539204
M122,2.742697005,3.240225702
M123,3.24107478,3.577495356
M124,1.047637768,3.38293682
M125,1.578245977,1.816748847
M126,1.754777532,2.625229902
M127,2.988582156,4.102219042
M128,1.74991526,2.960774215
M129,2.631387312,3.52418095
M130,0.15336533,2.094149933
M131,1.681535002,3.058065068
M132,1.258772127,3.540262754
M133,0.580648679,1.774636541
M134,2.457177186,3.312833369
M135,2.253785657,2.836341103
M136,2.030131894,2.154418711
M137,0.799689851,2.96622013
M138,3.014743051,1.293325956
M139,2.31516147,1.084820909
M140,1.730840573,1.940769002
M141,2.020600813,2.108521002
M142,1.764204109,1.944270905
M143,0.424808868,1.447114989
M144,1.742914126,3.259405281
M145,1.25177014,1.565234652
M146,1.118714325,3.099196964
M147,0.95923851,3.708360009
M148,1.519798602,2.997995892
M149,0.197627838,3.083797884
M150,2.86780648,2.659658649
M151,2.468054091,1.6655915
M152,1.981974934,2.960563273
M153,1.968706023,3.864742691
M154,1.281652774,4.564420439
M155,2.916816754,2.612814382
M156,1.880104268,1.535409537
M157,1.356922853,3.149712743
M158,3.216247192,3.338639319
M159,1.79770605,2.795744582
M160,1.469873872,1.965978939
M161,1.735621762,4.82189934
M162,1.236866381,0.87642884
M163,0.991884529,2.541025159
M164,4.273399723,1.810536968
M165,3.489947834,2.427484575
M166,2.276781643,3.286066277
M167,0.868593477,3.124243177
M168,1.221078773,2.360338433
M169,1.841119297,3.699303174
M170,2.712274455,3.560154532
M171,0.801196021,3.582642796
M172,-0.09688044,2.616931487
M173,0.695812436,3.943722684
M174,2.30015975,3.594636378
M175,2.352218244,5.257895226
M176,2.406511477,3.957113675
M177,1.882743812,4.041229488
M178,2.165320186,3.047680945
M179,1.571462285,1.840452597
M180,2.77581945,2.665900877
M181,0.774474976,2.317987275
M182,2.409526601,2.492427975
M183,1.236161558,3.499624704
M184,1.698601755,2.498899742
M185,2.497505011,2.194398178
M186,2.935181588,2.631605051
M187,0.994125185,2.85520191
M188,3.134592838,3.368400987
M189,2.594128827,2.142627603
M190,1.938921002,3.285585725
M191,1.824300922,3.070218073
M192,1.804154285,4.191946904
M193,1.727203141,2.808146562
M194,2.020741062,2.87896922
M195,2.04616132,1.945779764
M196,2.743456511,1.753263585
M197,3.374279018,3.279457487
M198,2.420222992,2.775459842
M199,1.811257995,3.45336965
M200,2.562671321,2.196604737
M201,2.164904537,4.717661097
M202,1.073209211,3.11000763
M203,2.854299648,3.94232994
M204,2.276355727,2.795771821
M205,2.121657448,2.853748253
M206,2.463721702,3.621046708
M207,2.235265692,3.500181094
M208,1.152662806,1.991770499
M209,1.853896094,1.620576287
M210,1.868550829,2.011919007
M211,1.521189761,1.725804011
M212,3.513893235,3.05361353
M213,1.211843588,2.629874167
M214,1.564566455,2.66879034
M215,1.359195906,1.775133184
M216,0.943208902,3.701610686
M217,1.826984434,3.39547
M218,1.753336793,2.919339765
M219,3.377065263,3.919062106
M220,1.775877732,2.213418481
M221,1.042207928,3.373230264
M222,3.443111568,3.31359708
M223,3.111211232,3.314328975
M224,1.793336194,2.343677459
M225,0.644456266,3.294156224
M226,1.599834965,2.53660653
M227,1.859653068,2.193198465
M228,2.248461429,1.917058632
M229,1.764952719,3.934034076
M230,2.399079722,2.238650209
M231,2.352704788,2.84437754
M232,0.874388984,1.912213151
M233,1.14683517,2.73258588
M234,1.333004515,0.091165984
M235,1.542964205,2.021736693
M236,1.711482044,1.716207456
M237,2.011222137,2.086994309
M238,-0.726259607,2.808059531
M239,1.588686823,2.707186998
M240,3.118203566,4.749958013
M241,1.039968741,2.485404103
M242,2.840355346,2.77497095
M243,2.315288901,1.587616077
M244,1.973894813,2.570355603
M245,2.164206951,1.795821012
M246,0.591449587,3.027269121
M247,1.923914468,3.767778091
M248,3.443551716,3.363828119
M249,2.088512997,2.369441808
M250,2.037236252,1.532511397
M251,1.339247799,4.314011867
M252,1.972267643,4.84503846
M253,2.209112311,3.10845054
M254,2.383748802,2.109088556
M255,1.664472132,4.077994327
M256,1.787190875,2.466609404
M257,3.821321798,2.577171573
M258,-0.032518573,3.797739639
M259,4.006501112,1.753302179
M260,2.303807331,1.238921441
M261,2.900054738,3.37861533
M262,0.502251973,3.360664198
M263,1.468968892,3.085627942
M264,1.749742253,3.447015952
M265,2.380444122,3.974016537
M266,0.496819372,3.87340301
M267,2.424470894,2.488287387
M268,0.90843752,3.728974866
M269,2.059571044,3.155922635
M270,2.5871203,2.545011688
M271,2.29435397,1.926024788
M272,2.974370154,3.582273845
M273,2.9054694,2.681739661
M274,1.414183037,3.041791074
M275,2.231350542,2.286347248
M276,1.150059974,1.604536973
M277,0.810390331,3.15442772
M278,2.83234334,2.944074788
M279,2.000044864,4.07912509
M280,1.950572977,3.721533663
M281,2.820014539,3.947974121
M282,2.535125328,2.326010923
M283,2.315181056,2.157306153
M284,3.125226105,1.857821904
M285,2.836810513,3.448182561
M286,2.215786931,5.510173015
M287,1.378675007,3.654814833
M288,1.413601722,2.304242308
M289,3.072891683,3.752970379
M290,0.54935265,1.984502721
M291,1.977984257,1.717976918
M292,0.246037541,3.645698084
M293,2.918448213,2.299885032
M294,2.775544672,3.284387293
M295,2.001045875,4.265881624
M296,1.936246508,3.361012172
M297,-0.237655529,3.836694256
M298,2.52305509,1.554778016
M299,0.026808572,3.59538262
M300,-0.087352276,4.924652028
M301,2.071940339,3.487025472
M302,1.146367115,1.613210536
M303,2.370341559,2.817171485
M304,2.609280025,2.5500313
M305,2.771959291,3.344721522
M306,1.377956787,3.37083184
M307,2.404439861,3.364943295
M308,2.090570015,2.672597324
M309,2.743462999,2.460655164
M310,2.482541372,2.469369908
M311,2.808099583,3.768186751
M312,1.881255919,1.332292736
M313,1.867518689,2.813427156
M314,2.906996065,3.243340382
M315,0.088710084,2.412506089
M316,1.545872235,3.429504557
M317,0.856464995,2.935812315
M318,1.655673678,2.155528841
M319,2.583811336,3.145227181
M320,2.743154434,2.758635406
M321,1.086550722,2.631114617
M322,1.576037079,2.359809561
M323,2.123322387,3.055300935
M324,1.737322962,1.338483688
M325,2.2716367,2.641500192
M326,2.359937849,2.510806691
M327,1.163034597,2.179291346
M328,1.840852761,3.587428732
M329,0.081114861,2.339155867
M330,3.030825539,3.486569781
M331,1.433818315,3.878256796
M332,0.916535023,2.858816627
M333,1.771449785,3.25001939
M334,0.714217822,3.575565573
M335,1.981228144,2.927119786
M336,1.495401503,3.486783129
M337,3.960000838,1.86369164
M338,3.024618849,3.999381457
M339,-0.247197853,2.109393589
M340,2.397194239,1.354047659
M341,0.741675912,4.24604866
M342,1.770450338,2.943545885
M343,2.147963666,3.404029008
M344,2.672960626,2.673067375
M345,1.754257746,2.081474946
M346,3.418670132,0.234310315
M347,1.567156563,3.563651098
M348,2.294760909,2.74198392
M349,2.598260709,2.822391384
M350,2.076669733,3.365044835
M351,2.792857507,1.722586386
M352,2.290891824,2.343499286
M353,1.294268435,4.032595057
M354,0.375163984,3.53807817
M355,3.672733654,1.846846867
M356,1.45592292,1.017062182
M357,2.09302375,2.485878312
M358,2.50685026,3.192596831
M359,2.102237297,3.84813924
M360,1.185746408,3.084352942
M361,1.579056876,1.989919451
M362,1.887599047,3.275542037
M363,3.331062642,1.944898619
M364,1.225265879,2.135130093
M365,2.706201621,2.411638485
M366,2.277760826,1.893545716
M367,1.789525962,2.756131383
M368,1.048724529,2.190044939
M369,1.744273141,2.742882476
M370,1.921978746,2.58382061
M371,0.677544433,2.631193307
M372,2.17296402,2.546814914
M373,1.259936051,4.109967401
M374,1.915183471,3.549274696
M375,2.302592007,3.05316494
M376,1.185811347,1.679747943
M377,1.740569275,1.53677706
M378,2.315056482,1.231722826
M379,0.347726772,5.344676176
M380,2.932378317,3.87513733
M381,4.18201503,3.231282873
M382,2.863460458,2.123183587
M383,1.715805204,1.968272053
M384,2.385760412,3.492875554
M385,1.067613699,4.408575587
M386,3.690078914,1.475990705
M387,2.846633963,2.595542376
M388,2.708611202,2.924137135
M389,1.211713164,1.20720254
M390,2.287954221,3.7571211
M391,1.497535144,2.626806974
M392,1.719713523,4.720962755
M393,1.486991075,2.648191141
M394,1.076839746,3.368263874
M395,1.182128972,1.971814649
M396,1.811092399,2.437622602
M397,0.471022324,1.948149435
M398,2.546840518,3.353317753
M399,1.89398154,4.171655554
M400,2.6292443,2.465722414
M401,2.242683778,3.392737852
M402,2.44485835,2.546073768
M403,0.66519108,3.091896942
M404,1.081762053,4.076625487
M405,1.59770449,3.108254535
M406,2.098692732,2.066840943
M407,3.015862807,2.228607085
M408,1.739033263,2.847113126
M409,3.135395646,2.827498548
M410,2.427882331,2.220766313
M411,3.056705076,3.16259772
M412,2.114252361,4.139875628
M413,1.408865664,2.773947641
M414,0.666740836,2.815886954
M415,2.139940096,1.018630285
M416,2.736696232,2.302938206
M417,1.736670682,1.746054674
M418,1.513292225,2.652388814
M419,1.722222366,3.473027715
M420,1.013066029,4.370942348
M421,1.556291166,4.618645007
M422,1.837334579,2.89480416
M423,2.041256995,2.711823432
M424,1.942595192,3.735764655
M425,2.550201675,3.44114327
M426,2.098385924,3.688726044
M427,3.632613905,3.700451141
M428,2.280821445,1.667725344
M429,3.624044395,3.486327564
M430,1.349190668,2.91761488
M431,2.473892334,2.315772861
M432,1.765774224,2.375764101
M433,2.540128258,4.153311977
M434,2.534537716,2.27123615
M435,0.032580549,1.886863482
M436,0.805661165,3.193217803
M437,0.703087762,4.809694591
M438,2.361660047,3.02299899
M439,3.323181153,3.277469493
M440,1.705867194,2.15557751
M441,2.731090704,4.506794357
M442,2.490986093,3.112489356
M443,1.053530921,3.477091131
M444,2.357720296,2.143138599
M445,1.323294735,3.768638536
M446,3.364640207,3.350231161
M447,1.970690142,1.959599024
M448,3.472399692,3.035766114
M449,1.617447358,2.594461257
M450,2.53049003,3.098323147
M451,1.943487897,2.774502442
M452,0.180236963,2.829088511
M453,1.116081627,2.070377837
M454,2.551260168,2.709037271
M455,1.950602483,3.689874169
M456,0.993141198,4.570205862
M457,1.436259315,1.955532066
M458,2.224565967,5.139670667
M459,1.106282894,4.373470166
M460,2.877455202,3.15165675
M461,1.423361444,2.728914124
M462,3.627976358,2.371211156
M463,1.028120374,3.749493518
M464,2.1792705,2.374855271
M465,0.631076094,2.584305306
M466,1.348731987,3.795255423
M467,1.466074716,3.392349764
M468,2.361202706,3.807072627
M469,2.847919987,3.454258825
M470,2.270437371,2.639192578
M471,1.664236407,2.537536789
M472,2.733939657,3.716730837
M473,2.718998293,2.395928852
M474,2.108184754,4.067993139
M475,2.514122867,3.711631774
M476,2.371516409,3.258949345
M477,1.111734305,3.002903503
M478,2.683611493,3.329055469
M479,1.408518831,6.174010037
M480,1.456473367,2.898807004
M481,2.15925214,1.599065459
M482,1.723246877,4.723592066
M483,1.881361682,3.548861448
M484,2.535821906,2.416879539
M485,2.942149506,5.355601421
M486,1.821837231,3.495855379
M487,2.294910348,3.264783316
M488,1.785528646,2.299940582
M489,2.206637204,2.041562914
M490,2.395998114,1.408427371
M491,1.444820664,2.619372418
M492,2.247353108,2.052207814
M493,2.540991829,3.58297972
M494,2.083077156,2.71413463
M495,3.556857252,4.592092412
M496,1.4522983,4.359524156
M497,1.336646205,3.147609285
M498,0.425108624,2.745512657
M499,2.819434322,4.036949227
M500,2.780374298,1.968143131
M501,-3.797890391,-2.505427655
M502,-4.200733899,-1.876055441
M503,-4.12009681,-1.849476434
M504,-4.201540728,-1.975080696
M505,-3.827311295,-1.952660584
M506,-4.233428055,-2.158382754
M507,-4.319068361,-1.78308179
M508,-3.83410651,-2.254982496
M509,-4.127028651,-2.238915215
M510,-3.891523851,-1.782398729
M511,-4.105566773,-1.494036657
M512,-3.919137788,-2.115918251
M513,-4.769334807,-2.151523524
M514,-3.860240762,-1.877577832
M515,-3.443931717,-1.678293157
M516,-3.688213198,-1.709605133
M517,-3.726731026,-1.91895634
M518,-4.071919386,-2.190321961
M519,-3.945700576,-1.811071046
M520,-3.926725136,-2.023770126
M521,-3.971082135,-1.58691525
M522,-4.249140549,-2.422463747
M523,-4.105675656,-1.957630495
M524,-4.052432512,-1.613084182
M525,-4.144196026,-2.14848089
M526,-3.748948987,-2.187447486
M527,-3.238495198,-2.280090288
M528,-4.397000275,-2.083617474
M529,-3.961497921,-2.060157488
M530,-4.432713746,-1.958977651
M531,-3.609247537,-2.265004658
M532,-3.57702655,-1.975238623
M533,-4.498762891,-2.181162469
M534,-3.416894656,-2.110618479
M535,-4.325409536,-2.251451127
M536,-3.931954307,-2.084742512
M537,-3.670321239,-0.929039667
M538,-3.955843374,-0.97774029
M539,-3.311300256,-1.655924642
M540,-3.174232637,-1.76382274
M541,-3.958504683,-2.383441211
M542,-4.572119863,-2.17537793
M543,-4.109497898,-2.185821699
M544,-4.254433003,-1.839409686
M545,-4.229426009,-1.855103884
M546,-4.338308444,-1.967457475
M547,-3.976543331,-2.102085418
M548,-3.368011103,-2.277754526
M549,-4.214754218,-1.998403493
M550,-4.084154699,-1.658255153
M551,-3.650057499,-1.871791626
M552,-3.636153574,-1.945690355
M553,-3.854337704,-1.802756078
M554,-3.692195054,-1.824726318
M555,-3.738782194,-2.484935389
M556,-4.114527364,-1.994367694
M557,-3.871332092,-2.127788227
M558,-4.089739156,-2.61020818
M559,-4.269960556,-2.398565766
M560,-3.809576362,-2.095965686
M561,-3.979763923,-1.752370861
M562,-4.056136163,-2.068787843
M563,-3.912481763,-1.921324756
M564,-3.703691592,-2.269393863
M565,-3.882119629,-2.647190812
M566,-3.941634588,-1.971824973
M567,-3.916064513,-2.285354439
M568,-3.984633906,-1.648223021
M569,-4.232339873,-1.47947124
M570,-3.763965487,-2.111508814
M571,-3.577327915,-1.642140761
M572,-4.160229575,-1.713905592
M573,-3.421672471,-2.424513361
M574,-4.052874264,-2.010006895
M575,-4.073125109,-1.921664671
M576,-4.269280198,-1.84310164
M577,-4.23770106,-1.796963947
M578,-4.285892407,-1.797681303
M579,-3.893828364,-1.796480312
M580,-3.520892103,-2.093773916
M581,-3.841758925,-1.88622687
M582,-3.74373931,-2.67586947
M583,-3.597446043,-2.350505209
M584,-4.749860033,-1.639410313
M585,-4.050267797,-2.198221577
M586,-3.894095406,-1.901732288
M587,-3.784823882,-1.547561876
M588,-4.391455492,-2.266672687
M589,-4.301760686,-2.287785389
M590,-3.762794959,-2.147815791
M591,-4.034971399,-1.867683026
M592,-3.834073034,-2.061429274
M593,-4.288193441,-2.293342079
M594,-4.490140719,-2.471883976
M595,-3.771639915,-2.11107847
M596,-3.642007854,-2.06634364
M597,-3.510382835,-2.160563847
M598,-4.459656881,-2.078591652
M599,-4.401055721,-2.328624476
M600,-4.442153949,-1.835229953
M601,-4.012498922,-2.65238617
M602,-4.184652201,-1.956615605
M603,-3.605753557,-1.799289969
M604,-4.436519975,-2.254648748
M605,-4.522704766,-2.017127036
M606,-3.938408595,-1.912464121
M607,-3.64212088,-2.184385562
M608,-4.240846929,-2.004092957
M609,-4.379690927,-1.876365951
M610,-4.044799406,-2.281144879
M611,-4.490934003,-1.749452889
M612,-3.994796696,-1.671638462
M613,-3.75148382,-1.90364578
M614,-3.934678495,-1.995466148
M615,-4.57277347,-2.349347762
M616,-4.161046546,-1.851547776
M617,-4.09060969,-2.364754695
M618,-3.455925361,-1.522763607
M619,-3.725544474,-1.842057485
M620,-4.017124215,-1.920554422
M621,-3.607191377,-2.118079367
M622,-4.313420755,-2.652893012
M623,-4.104480043,-2.35869633
M624,-3.576231652,-1.890401482
M625,-3.549285121,-1.276267083
M626,-3.780887202,-1.777925834
M627,-3.852774318,-1.907076083
M628,-4.175837842,-2.162596155
M629,-3.776530105,-1.963315045
M630,-4.248446491,-1.7113162
M631,-3.827643781,-2.076192453
M632,-3.915447585,-1.432473203
M633,-3.658208119,-2.366076241
M634,-4.127760354,-2.112871143
M635,-3.809158033,-1.984271255
M636,-3.762046576,-2.58618011
M637,-4.269513134,-1.830373829
M638,-3.953126547,-1.976661661
M639,-3.520823827,-1.975789644
M640,-3.966268087,-1.761587657
M641,-4.09258748,-1.686893319
M642,-3.863002117,-1.759344606
M643,-4.082530249,-2.140647309
M644,-3.867056917,-2.013977712
M645,-4.040429538,-1.89396409
M646,-4.005498469,-2.377040169
M647,-3.861763172,-2.310809431
M648,-3.591305361,-2.128088806
M649,-3.86443763,-1.976699396
M650,-3.505484903,-1.462720922
M651,-4.608508588,-1.760821059
M652,-4.134777043,-2.132750222
M653,-3.929202039,-2.188727327
M654,-4.250551889,-1.539861119
M655,-4.382786549,-1.179937886
M656,-3.814889476,-1.949768277
M657,-3.816189549,-2.14365955
M658,-3.913185653,-2.423796165
M659,-3.881405163,-1.707503583
M660,-4.261168853,-1.913084305
M661,-4.149306513,-1.650377525
M662,-4.032001545,-2.272611685
M663,-4.206348741,-1.927827489
M664,-3.900435737,-2.196213901
M665,-3.290432577,-1.617513639
M666,-4.144669216,-2.165357183
M667,-3.805765538,-2.02622266
M668,-4.310327415,-2.104346095
M669,-3.598133621,-1.70181124
M670,-4.290742107,-1.871469148
M671,-3.93738532,-2.301255584
M672,-4.185578007,-2.189806363
M673,-3.846395307,-2.313712997
M674,-3.996593749,-1.848287897
M675,-4.013196588,-1.900413884
M676,-3.115272238,-2.490623757
M677,-4.189013858,-2.572052062
M678,-4.01406382,-2.012119616
M679,-3.195092347,-1.790842001
M680,-4.344007206,-1.949359227
M681,-3.834100376,-2.463138898
M682,-4.322937523,-2.465540718
M683,-3.690808125,-1.739876659
M684,-3.901741056,-2.043611897
M685,-3.804362557,-2.115872499
M686,-4.083658335,-1.605138766
M687,-3.926442522,-2.238939268
M688,-3.558245956,-1.959367588
M689,-4.682530463,-1.874658071
M690,-4.489987217,-1.754036106
M691,-3.875359319,-2.256306014
M692,-4.196430656,-1.892804424
M693,-4.088904495,-1.175460033
M694,-4.449075663,-2.453893098
M695,-4.271450334,-1.86980629
M696,-4.121254464,-2.06893032
M697,-4.21773945,-2.248125913
M698,-4.259945508,-2.249594785
M699,-4.126554034,-1.85063015
M700,-4.282799897,-1.305312169
M701,-3.597434885,-2.23814771
M702,-4.296530414,-1.837712129
M703,-3.454617194,-2.167718407
M704,-4.112330982,-1.407030183
M705,-4.435522216,-1.836601887
M706,-4.185604542,-2.041371667
M707,-3.719649711,-1.814037309
M708,-3.683221223,-2.001674835
M709,-3.951931817,-1.667840226
M710,-3.913779904,-2.055677033
M711,-3.810128327,-2.336425344
M712,-4.437712561,-1.926065145
M713,-4.174512918,-1.531688831
M714,-4.549044797,-2.358986514
M715,-4.134730924,-2.072703583
M716,-3.715217589,-1.698551551
M717,-3.784767577,-2.576037742
M718,-3.313651418,-1.812366266
M719,-3.949981701,-1.774111875
M720,-4.646947226,-1.935954895
M721,-3.493180208,-2.231070222
M722,-3.615315776,-2.002140396
M723,-4.174789289,-1.972044043
M724,-3.933215656,-1.719424638
M725,-3.766164558,-1.800944623
M726,-3.884587853,-2.1050698
M727,-3.791089923,-1.514036768
M728,-4.033814668,-2.015249929
M729,-4.01164711,-2.243809121
M730,-3.973573411,-2.13152598
M731,-4.236896792,-1.742417002
M732,-3.573111814,-1.941435219
M733,-3.998100495,-1.733341354
M734,-3.794055746,-1.979233454
M735,-4.25648009,-1.253953604
M736,-4.322570595,-2.499692935
M737,-4.027290175,-2.124778383
M738,-4.07583155,-2.025267382
M739,-3.641552854,-1.973224416
M740,-3.818180887,-1.56315584
M741,-3.837845671,-1.934163944
M742,-4.433481826,-2.034463176
M743,-4.290308142,-1.979419259
M744,-3.939384599,-1.774551543
M745,-4.104363392,-2.206828117
M746,-3.612973603,-1.864755925
M747,-3.597653854,-2.469507397
M748,-4.174239307,-2.023638777
M749,-3.737459319,-2.282537591
M750,-3.581365034,-2.195858452
M751,-3.903704433,-1.915241228
M752,-3.512985262,-2.337523713
M753,-3.681270007,-2.296692226
M754,-3.935768429,-2.454757628
M755,-3.736959039,-2.668553143
M756,-3.941677897,-2.045456503
M757,-4.124467648,-1.65117669
M758,-3.89246238,-2.054580886
M759,-3.9891332,-2.070186062
M760,-4.10938935,-2.314020221
M761,-3.46869413,-1.525004337
M762,-3.93361808,-2.074824026
M763,-3.180886725,-1.611794297
M764,-4.088849615,-1.891405959
M765,-3.830711334,-2.078915753
M766,-3.525213801,-1.675356664
M767,-3.181230963,-1.705269776
M768,-3.908930716,-2.033433189
M769,-4.237077544,-1.611214764
M770,-3.75898593,-1.465611494
M771,-4.395970811,-2.019684463
M772,-4.082153728,-2.07670426
M773,-3.918439924,-1.878608553
M774,-3.553133948,-1.894472974
M775,-3.568857543,-1.757746682
M776,-4.008268419,-2.076677148
M777,-3.722820605,-1.785466016
M778,-4.096384126,-1.685420806
M779,-3.801662534,-1.946735433
M780,-3.425411818,-1.954010695
M781,-3.952972117,-2.376297343
M782,-4.090160937,-2.351840257
M783,-4.150010433,-2.438432545
M784,-3.785058586,-2.373286396
M785,-3.598813382,-2.046529813
M786,-3.362296016,-2.484474144
M787,-3.983786265,-1.326180455
M788,-3.951089225,-1.77821566
M789,-4.189812022,-2.620293609
M790,-3.516402552,-2.346365174
M791,-4.022634617,-2.032157563
M792,-4.141971143,-2.513863726
M793,-3.344727764,-2.137968363
M794,-3.757035668,-1.672699969
M795,-3.785097159,-2.049164077
M796,-4.30167134,-2.020172141
M797,-3.869804016,-2.300477737
M798,-3.843956922,-2.166698434
M799,-4.327673355,-2.405466903
M800,-4.067738336,-1.890736603
M801,-4.121476533,-2.135662281
M802,-3.841642235,-1.764990209
M803,-4.302088859,-1.628829006
M804,-3.673291969,-1.676840546
M805,-3.464537587,-2.010452337
M806,-4.091126356,-2.1511962
M807,-4.002608989,-2.367205692
M808,-3.848009492,-1.964447275
M809,-3.639024403,-1.71215795
M810,-3.843394681,-2.102279132
M811,-3.880886172,-2.051995499
M812,-4.144843252,-1.815109848
M813,-4.069449158,-1.740824189
M814,-3.815984436,-2.42507425
M815,-3.495144839,-1.940014412
M816,-3.829481928,-1.941251944
M817,-4.361808776,-2.045339721
M818,-3.870081883,-1.732164751
M819,-4.027636225,-2.109257056
M820,-4.073216481,-2.247856607
M821,-4.065756599,-1.917196608
M822,-4.263930015,-1.86206081
M823,-4.096241298,-2.065252001
M824,-4.235324588,-1.76116311
M825,-4.109488758,-2.45540677
M826,-3.964818828,-2.32247511
M827,-3.947698093,-2.92164972
M828,-4.064696924,-1.843577843
M829,-4.045783444,-2.297307088
M830,-3.989893534,-2.075937721
M831,-3.862515338,-1.697220421
M832,-3.615510634,-1.984696384
M833,-3.813972985,-2.132129837
M834,-4.086002159,-2.254540823
M835,-3.820595286,-2.072111252
M836,-4.073659803,-1.819121169
M837,-4.534221153,-2.454876095
M838,-4.704171769,-2.020504551
M839,-4.51407859,-1.76528214
M840,-4.071138178,-2.426217777
M841,-4.185887744,-1.799190461
M842,-4.216048114,-1.795029009
M843,-3.987802848,-2.264640867
M844,-4.197694429,-2.451352627
M845,-4.18915451,-1.87005818
M846,-3.817112473,-1.757523286
M847,-3.765299509,-1.826318604
M848,-3.269024693,-1.771145262
M849,-3.909277775,-2.35463811
M850,-3.982504044,-1.824845693
M851,-4.172240189,-2.174002905
M852,-4.05856372,-2.168410157
M853,-4.015159383,-2.466768945
M854,-4.526732512,-1.669937463
M855,-4.077207287,-1.947482509
M856,-3.775137434,-1.698916607
M857,-4.171229293,-1.546697548
M858,-3.851729987,-2.341171709
M859,-3.702567868,-1.807094482
M860,-3.676857966,-2.003828013
M861,-3.766947461,-1.725722082
M862,-4.677952105,-1.667691627
M863,-4.169313007,-1.753858562
M864,-3.729552569,-2.24528355
M865,-3.881597341,-2.037945566
M866,-3.998543673,-1.920757128
M867,-3.868924412,-1.052441578
M868,-3.660978184,-1.632014831
M869,-3.953868778,-1.303809404
M870,-4.227588147,-1.875650642
M871,-4.054048929,-1.93645053
M872,-4.062336876,-1.816049932
M873,-3.730976414,-2.158333088
M874,-3.876307689,-1.627519625
M875,-3.835744094,-2.047289205
M876,-3.955649487,-2.412080535
M877,-4.108680147,-1.738748554
M878,-3.981657611,-2.470559991
M879,-3.934988335,-2.553275869
M880,-4.419436724,-1.913477057
